Entity,Code,Year,2.5.1 - Plant genetic resources accessions stored ex situ (number) - ER_GRF_PLNTSTOR
Afghanistan,AFG,1995,0
Afghanistan,AFG,2000,0
Afghanistan,AFG,2005,0
Afghanistan,AFG,2010,757
Afghanistan,AFG,2012,811
Afghanistan,AFG,2014,943
Afghanistan,AFG,2016,953
Afghanistan,AFG,2017,953
Afghanistan,AFG,2018,953
Afghanistan,AFG,2019,953
Afghanistan,AFG,2020,953
Afghanistan,AFG,2021,953
Africa (UN),,1995,135499
Africa (UN),,2000,151120
Africa (UN),,2005,210084
Africa (UN),,2010,279396
Africa (UN),,2012,293478
Africa (UN),,2014,306311
Africa (UN),,2016,322232
Africa (UN),,2017,326916
Africa (UN),,2018,331556
Africa (UN),,2019,336061
Africa (UN),,2020,341575
Africa (UN),,2021,343885
Argentina,ARG,1995,936
Argentina,ARG,2000,1039
Argentina,ARG,2005,1900
Argentina,ARG,2010,4243
Argentina,ARG,2012,4840
Argentina,ARG,2014,5608
Argentina,ARG,2016,5743
Argentina,ARG,2017,5816
Argentina,ARG,2018,5981
Argentina,ARG,2019,5975
Argentina,ARG,2020,5975
Argentina,ARG,2021,5975
Armenia,ARM,1995,2158
Armenia,ARM,2000,2546
Armenia,ARM,2005,4688
Armenia,ARM,2010,6544
Armenia,ARM,2012,6702
Armenia,ARM,2014,6711
Armenia,ARM,2016,6789
Armenia,ARM,2017,6918
Armenia,ARM,2018,6918
Armenia,ARM,2019,6918
Armenia,ARM,2020,4297
Armenia,ARM,2021,6458
Asia (UN),,1995,493255
Asia (UN),,2000,615148
Asia (UN),,2005,782056
Asia (UN),,2010,858380
Asia (UN),,2012,886187
Asia (UN),,2014,910942
Asia (UN),,2016,942281
Asia (UN),,2017,947738
Asia (UN),,2018,993043
Asia (UN),,2019,1008727
Asia (UN),,2020,1019115
Asia (UN),,2021,1033859
Australia,AUS,1995,147501
Australia,AUS,2000,170550
Australia,AUS,2005,202075
Australia,AUS,2010,211286
Australia,AUS,2012,215776
Australia,AUS,2014,218003
Australia,AUS,2016,221788
Australia,AUS,2017,222805
Australia,AUS,2018,223158
Australia,AUS,2019,248905
Australia,AUS,2020,249056
Australia,AUS,2021,249056
Austria,AUT,1995,5874
Austria,AUT,2000,7116
Austria,AUT,2005,9982
Austria,AUT,2010,11557
Austria,AUT,2012,11669
Austria,AUT,2014,11722
Austria,AUT,2016,11964
Austria,AUT,2017,11964
Austria,AUT,2018,11964
Austria,AUT,2019,11964
Austria,AUT,2020,11964
Austria,AUT,2021,11964
Azerbaijan,AZE,1995,6075
Azerbaijan,AZE,2000,6649
Azerbaijan,AZE,2005,9133
Azerbaijan,AZE,2010,11392
Azerbaijan,AZE,2012,11827
Azerbaijan,AZE,2014,11839
Azerbaijan,AZE,2016,12712
Azerbaijan,AZE,2017,12712
Azerbaijan,AZE,2018,12712
Azerbaijan,AZE,2019,13610
Azerbaijan,AZE,2020,13237
Azerbaijan,AZE,2021,13430
Bangladesh,BGD,1995,14868
Bangladesh,BGD,2000,17968
Bangladesh,BGD,2005,20591
Bangladesh,BGD,2010,23423
Bangladesh,BGD,2012,26682
Bangladesh,BGD,2014,31043
Bangladesh,BGD,2016,32941
Bangladesh,BGD,2017,33081
Bangladesh,BGD,2018,33083
Bangladesh,BGD,2019,34467
Bangladesh,BGD,2020,34467
Bangladesh,BGD,2021,34467
Belarus,BLR,1995,1144
Belarus,BLR,2000,2153
Belarus,BLR,2005,3521
Belarus,BLR,2010,9558
Belarus,BLR,2012,14671
Belarus,BLR,2014,20147
Belarus,BLR,2016,23971
Belarus,BLR,2017,26161
Belarus,BLR,2018,27061
Belarus,BLR,2019,27645
Belarus,BLR,2020,27494
Belarus,BLR,2021,27494
Belgium,BEL,1995,8554
Belgium,BEL,2000,8964
Belgium,BEL,2005,9237
Belgium,BEL,2010,9304
Belgium,BEL,2012,9304
Belgium,BEL,2014,9304
Belgium,BEL,2016,9304
Belgium,BEL,2017,9304
Belgium,BEL,2018,9304
Belgium,BEL,2019,9309
Belgium,BEL,2020,9309
Belgium,BEL,2021,9311
Benin,BEN,1995,134
Benin,BEN,2000,134
Benin,BEN,2005,134
Benin,BEN,2010,134
Benin,BEN,2012,134
Benin,BEN,2014,250
Benin,BEN,2016,250
Benin,BEN,2017,250
Benin,BEN,2018,483
Benin,BEN,2019,483
Benin,BEN,2020,483
Benin,BEN,2021,483
Bhutan,BTN,1995,0
Bhutan,BTN,2000,29
Bhutan,BTN,2005,433
Bhutan,BTN,2010,777
Bhutan,BTN,2012,798
Bhutan,BTN,2014,977
Bhutan,BTN,2016,1162
Bhutan,BTN,2017,1162
Bhutan,BTN,2018,1162
Bhutan,BTN,2019,1162
Bhutan,BTN,2020,1162
Bhutan,BTN,2021,1162
Bolivia,BOL,1995,10666
Bolivia,BOL,2000,10917
Bolivia,BOL,2005,11280
Bolivia,BOL,2010,11418
Bolivia,BOL,2012,11505
Bolivia,BOL,2014,11506
Bolivia,BOL,2016,11506
Bolivia,BOL,2017,11506
Bolivia,BOL,2018,11506
Bolivia,BOL,2019,11506
Bolivia,BOL,2020,11506
Bolivia,BOL,2021,11506
Bosnia and Herzegovina,BIH,1995,328
Bosnia and Herzegovina,BIH,2000,328
Bosnia and Herzegovina,BIH,2005,331
Bosnia and Herzegovina,BIH,2010,483
Bosnia and Herzegovina,BIH,2012,725
Bosnia and Herzegovina,BIH,2014,734
Bosnia and Herzegovina,BIH,2016,880
Bosnia and Herzegovina,BIH,2017,881
Bosnia and Herzegovina,BIH,2018,478
Bosnia and Herzegovina,BIH,2019,965
Bosnia and Herzegovina,BIH,2020,971
Bosnia and Herzegovina,BIH,2021,971
Botswana,BWA,1995,2420
Botswana,BWA,2000,2423
Botswana,BWA,2005,2652
Botswana,BWA,2010,2925
Botswana,BWA,2012,2992
Botswana,BWA,2014,2992
Botswana,BWA,2016,2992
Botswana,BWA,2017,2992
Botswana,BWA,2018,2992
