Entity,Code,Year,2.5.2 - Proportion of local breeds classified as being at risk as a share of local breeds with known level of extinction risk (%) - ER_RSK_LBREDS
Africa (UN),,2000,26
Africa (UN),,2001,30
Africa (UN),,2003,40
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2020,100
Algeria,DZA,2021,100
Algeria,DZA,2022,100
Algeria,DZA,2023,100
Angola,AGO,2000,0
Angola,AGO,2001,0
Angola,AGO,2002,0
Angola,AGO,2003,0
Antigua and Barbuda,ATG,2000,25
Antigua and Barbuda,ATG,2001,25
Antigua and Barbuda,ATG,2002,25
Antigua and Barbuda,ATG,2003,25
Argentina,ARG,2000,14
Argentina,ARG,2001,14
Argentina,ARG,2002,20
Argentina,ARG,2003,25
Argentina,ARG,2010,0
Argentina,ARG,2011,0
Argentina,ARG,2012,0
Argentina,ARG,2013,0
Argentina,ARG,2014,0
Argentina,ARG,2015,0
Argentina,ARG,2016,0
Argentina,ARG,2017,25
Argentina,ARG,2018,20
Argentina,ARG,2019,20
Argentina,ARG,2020,20
Argentina,ARG,2021,17
Argentina,ARG,2022,30
Argentina,ARG,2023,30
Armenia,ARM,2003,0
Armenia,ARM,2004,0
Armenia,ARM,2005,0
Armenia,ARM,2006,0
Armenia,ARM,2007,0
Armenia,ARM,2008,0
Armenia,ARM,2009,0
Armenia,ARM,2010,0
Armenia,ARM,2011,0
Armenia,ARM,2012,0
Asia (UN),,2000,30
Asia (UN),,2001,28
Asia (UN),,2002,25
Asia (UN),,2003,24
Asia (UN),,2004,22
Asia (UN),,2005,20
Asia (UN),,2006,22
Asia (UN),,2007,21
Asia (UN),,2008,20
Asia (UN),,2009,21
Asia (UN),,2010,22
Asia (UN),,2011,23
Asia (UN),,2012,24
Australia,AUS,2000,85
Australia,AUS,2001,85
Australia,AUS,2002,90
Australia,AUS,2003,83
Australia,AUS,2004,71
Australia,AUS,2005,88
Australia,AUS,2006,86
Australia,AUS,2007,86
Australia,AUS,2008,86
Australia,AUS,2009,78
Australia,AUS,2010,78
Australia,AUS,2011,78
Australia,AUS,2012,78
Australia,AUS,2013,78
Australia,AUS,2014,83
Australia,AUS,2015,83
Australia,AUS,2016,83
Australia,AUS,2017,83
Australia,AUS,2018,83
Australia,AUS,2019,100
Australia,AUS,2021,100
Australia,AUS,2022,87
Australia,AUS,2023,87
Austria,AUT,2000,100
Austria,AUT,2001,100
Austria,AUT,2002,100
Austria,AUT,2003,100
Austria,AUT,2004,100
Austria,AUT,2005,100
Austria,AUT,2006,100
Austria,AUT,2007,100
Austria,AUT,2008,100
Austria,AUT,2009,100
Austria,AUT,2010,100
Austria,AUT,2011,100
Austria,AUT,2012,100
Austria,AUT,2013,96
Austria,AUT,2014,96
Austria,AUT,2015,96
Austria,AUT,2016,96
Austria,AUT,2017,91
Austria,AUT,2018,91
Austria,AUT,2019,91
Austria,AUT,2020,91
Austria,AUT,2021,91
Austria,AUT,2022,91
Austria,AUT,2023,91
Azerbaijan,AZE,2015,0
Azerbaijan,AZE,2016,0
Azerbaijan,AZE,2017,0
Azerbaijan,AZE,2018,0
Azerbaijan,AZE,2019,0
Azerbaijan,AZE,2020,0
Azerbaijan,AZE,2021,0
Azerbaijan,AZE,2022,0
Azerbaijan,AZE,2023,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2004,80
Bangladesh,BGD,2005,80
Bangladesh,BGD,2006,80
Bangladesh,BGD,2007,80
Bangladesh,BGD,2008,80
Bangladesh,BGD,2009,80
Bangladesh,BGD,2010,80
Bangladesh,BGD,2011,80
Bangladesh,BGD,2012,80
Bangladesh,BGD,2013,80
Belarus,BLR,2003,25
Belarus,BLR,2004,40
Belarus,BLR,2005,40
Belarus,BLR,2006,40
Belarus,BLR,2007,40
Belarus,BLR,2008,40
Belarus,BLR,2009,40
Belarus,BLR,2010,40
Belarus,BLR,2011,40
Belarus,BLR,2012,40
Belarus,BLR,2013,100
Belgium,BEL,2000,85
Belgium,BEL,2001,85
Belgium,BEL,2002,85
Belgium,BEL,2003,85
Belgium,BEL,2004,100
Belgium,BEL,2005,100
Belgium,BEL,2006,100
Belgium,BEL,2007,100
Belgium,BEL,2008,100
Belgium,BEL,2009,100
Belgium,BEL,2010,100
Belgium,BEL,2011,100
Belgium,BEL,2012,93
Belgium,BEL,2013,96
Belgium,BEL,2014,96
Belgium,BEL,2015,96
Belgium,BEL,2016,94
Belgium,BEL,2017,94
Belgium,BEL,2018,96
Belgium,BEL,2019,96
Belgium,BEL,2020,96
Belgium,BEL,2021,96
Belgium,BEL,2022,96
Belgium,BEL,2023,100
Benin,BEN,2000,0
Benin,BEN,2001,0
Benin,BEN,2003,0
Benin,BEN,2004,0
Benin,BEN,2005,0
Benin,BEN,2006,0
Benin,BEN,2007,0
Benin,BEN,2008,0
Benin,BEN,2009,0
Benin,BEN,2010,0
Benin,BEN,2011,0
Benin,BEN,2012,0
Bermuda,BMU,2000,100
Bermuda,BMU,2001,100
Bermuda,BMU,2002,100
Bermuda,BMU,2003,100
Bhutan,BTN,2000,0
Bhutan,BTN,2001,0
Bhutan,BTN,2002,0
Bhutan,BTN,2003,0
Bhutan,BTN,2004,0
Bhutan,BTN,2005,0
Bhutan,BTN,2006,0
Bhutan,BTN,2007,30
Bhutan,BTN,2008,33
Bhutan,BTN,2009,29
Bhutan,BTN,2010,27
Bhutan,BTN,2011,27
Bhutan,BTN,2012,30
Bhutan,BTN,2013,30
Bhutan,BTN,2014,30
Bhutan,BTN,2015,30
Bhutan,BTN,2016,30
Bhutan,BTN,2017,30
Bhutan,BTN,2018,52
Bhutan,BTN,2019,52
Bhutan,BTN,2020,52
Bhutan,BTN,2021,52
Bhutan,BTN,2022,50
Bhutan,BTN,2023,50
Bolivia,BOL,2000,100
Bolivia,BOL,2001,60
Bolivia,BOL,2002,33
Bolivia,BOL,2003,0
Bolivia,BOL,2004,0
Bolivia,BOL,2005,0
Bolivia,BOL,2006,0
Bolivia,BOL,2007,0
Bolivia,BOL,2008,14
Bolivia,BOL,2009,13
Bolivia,BOL,2010,11
Bolivia,BOL,2011,14
Bolivia,BOL,2012,14
Bolivia,BOL,2013,17
Bolivia,BOL,2014,17
Bolivia,BOL,2015,17
Bolivia,BOL,2016,17
Bolivia,BOL,2017,17
Bolivia,BOL,2018,0
Bolivia,BOL,2019,0
Bosnia and Herzegovina,BIH,2000,0
Bosnia and Herzegovina,BIH,2003,25
Bosnia and Herzegovina,BIH,2004,25
Bosnia and Herzegovina,BIH,2005,25
Bosnia and Herzegovina,BIH,2006,25
Bosnia and Herzegovina,BIH,2007,25
Bosnia and Herzegovina,BIH,2008,25
Bosnia and Herzegovina,BIH,2009,25
Bosnia and Herzegovina,BIH,2010,25
Bosnia and Herzegovina,BIH,2011,25
Bosnia and Herzegovina,BIH,2012,25
Botswana,BWA,2000,25
Botswana,BWA,2001,25
Botswana,BWA,2002,25
Botswana,BWA,2003,25
Botswana,BWA,2004,0
Botswana,BWA,2005,0
Botswana,BWA,2006,0
Botswana,BWA,2007,0
Botswana,BWA,2008,0
Botswana,BWA,2011,50
Botswana,BWA,2012,75
Botswana,BWA,2013,75
Botswana,BWA,2014,75
Botswana,BWA,2015,75
Botswana,BWA,2016,75
Botswana,BWA,2017,75
Botswana,BWA,2018,75
Botswana,BWA,2019,75
Botswana,BWA,2020,75
Botswana,BWA,2021,100
Botswana,BWA,2022,100
Botswana,BWA,2023,100
Brazil,BRA,2000,45
Brazil,BRA,2001,50
Brazil,BRA,2002,0
Brazil,BRA,2003,50
Brazil,BRA,2004,67
Brazil,BRA,2005,67
Brazil,BRA,2006,67
Brazil,BRA,2007,67
Brazil,BRA,2008,67
Brazil,BRA,2009,67
Brazil,BRA,2010,67
Brazil,BRA,2011,67
Brazil,BRA,2012,67
Brazil,BRA,2017,46
Brazil,BRA,2018,46
Brazil,BRA,2019,46
Brazil,BRA,2020,41
Brazil,BRA,2021,50
Brazil,BRA,2022,50
Brazil,BRA,2023,50
Bulgaria,BGR,2000,100
Bulgaria,BGR,2001,100
Bulgaria,BGR,2002,88
Bulgaria,BGR,2003,88
Bulgaria,BGR,2004,67
Bulgaria,BGR,2005,67
Bulgaria,BGR,2006,67
Bulgaria,BGR,2007,67
Bulgaria,BGR,2008,67
Bulgaria,BGR,2009,90
Bulgaria,BGR,2010,88
Bulgaria,BGR,2011,92
Bulgaria,BGR,2012,92
Bulgaria,BGR,2013,91
Bulgaria,BGR,2014,81
Bulgaria,BGR,2015,86
Bulgaria,BGR,2016,92
Bulgaria,BGR,2017,82
Bulgaria,BGR,2018,79
Bulgaria,BGR,2019,80
Bulgaria,BGR,2020,81
Bulgaria,BGR,2021,81
Bulgaria,BGR,2022,80
Bulgaria,BGR,2023,80
Burkina Faso,BFA,2000,40
Burkina Faso,BFA,2001,40
Burkina Faso,BFA,2002,40
Burkina Faso,BFA,2003,40
Burundi,BDI,2000,0
Burundi,BDI,2001,0
Burundi,BDI,2002,0
Burundi,BDI,2003,0
Burundi,BDI,2004,0
Burundi,BDI,2005,0
Burundi,BDI,2006,0
Burundi,BDI,2007,0
Burundi,BDI,2008,0
Burundi,BDI,2009,0
Burundi,BDI,2010,0
Burundi,BDI,2011,0
Burundi,BDI,2012,0
Burundi,BDI,2013,0
Burundi,BDI,2014,0
Burundi,BDI,2015,0
Burundi,BDI,2016,0
Burundi,BDI,2017,0
Burundi,BDI,2018,0
Burundi,BDI,2019,0
Burundi,BDI,2020,0
Burundi,BDI,2021,0
